Latitude,Longitude,City,Country,Date,Temperature,Humidity,Cloudiness,Wind Speed
56.81,54.57,foki,RU,2021-01-13 10:32:00,-22.28,90.0,67.0,1.93
38.53,172.21,nikolskoye,RU,2021-01-13 10:32:01,-13.47,78.0,75.0,6.0
-82.52,40.74,port alfred,ZA,2021-01-13 10:32:17,21.11,95.0,100.0,1.34
8.82,61.07,bandarbeyla,SO,2021-01-13 10:32:18,25.61,56.0,0.0,11.44
-29.9,-8.4,jamestown,US,2021-01-13 10:32:19,-2.99,100.0,90.0,4.28
86.73,81.88,dikson,RU,2021-01-13 10:32:19,-30.46,87.0,23.0,4.68
21.83,-131.53,lompoc,US,2021-01-13 10:27:29,7.25,93.0,1.0,2.72
48.88,-60.35,channel-port aux basques,CA,2021-01-13 10:32:21,-1.9,94.0,30.0,2.16
47.48,35.91,mala tokmachka,UA,2021-01-13 10:32:21,0.0,100.0,90.0,4.55
12.54,77.53,kanakapura,IN,2021-01-13 10:32:22,26.43,50.0,40.0,4.12
-85.32,5.0,hermanus,ZA,2021-01-13 10:32:22,23.89,78.0,90.0,4.02
77.14,-146.46,barrow,US,2021-01-13 10:31:07,-19.0,78.0,1.0,11.32
-7.49,-23.88,georgetown,MY,2021-01-13 10:30:47,29.5,62.0,20.0,3.09
74.91,-93.16,thompson,CA,2021-01-13 10:32:25,-4.0,100.0,90.0,2.57
4.93,-105.48,acapulco,MX,2021-01-13 10:32:26,23.53,68.0,18.0,2.0
-56.91,-101.69,punta arenas,CL,2021-01-13 10:27:41,7.89,81.0,90.0,1.54
-65.64,167.14,bluff,NZ,2021-01-13 10:32:28,13.33,86.0,95.0,0.45
-71.41,-61.87,ushuaia,AR,2021-01-13 10:32:28,6.0,75.0,40.0,3.6
-63.26,-15.35,cape town,ZA,2021-01-13 10:27:54,28.89,54.0,0.0,11.32
2.58,45.03,wanlaweyn,SO,2021-01-13 10:32:30,35.12,26.0,0.0,8.49
44.58,141.87,nayoro,JP,2021-01-13 10:32:31,-4.41,95.0,68.0,4.38
13.06,52.76,bereda,ES,2021-01-13 10:32:31,8.37,100.0,20.0,2.06
-85.74,38.71,port elizabeth,ZA,2021-01-13 10:30:33,22.0,88.0,90.0,5.14
-13.3,24.19,kabompo,ZM,2021-01-13 10:32:33,22.98,88.0,99.0,3.28
-35.02,5.55,saldanha,ZA,2021-01-13 10:32:33,31.0,40.0,14.0,4.63
-23.86,-60.36,pozo colorado,PY,2021-01-13 10:32:35,24.47,88.0,100.0,3.15
-8.71,154.22,buin,CL,2021-01-13 10:32:35,14.97,54.0,0.0,0.14
59.14,18.92,norrtalje,SE,2021-01-13 10:32:36,0.93,90.0,100.0,4.47
-5.55,123.39,katobu,ID,2021-01-13 10:32:37,25.75,89.0,100.0,1.38
59.25,-64.45,iqaluit,CA,2021-01-13 10:30:15,-19.0,71.0,90.0,6.17
50.29,98.42,kungurtug,RU,2021-01-13 10:32:38,-16.14,89.0,100.0,0.43
-48.26,92.01,busselton,AU,2021-01-13 10:32:38,24.44,41.0,8.0,1.34
55.84,131.65,tokur,RU,2021-01-13 10:32:39,-27.85,89.0,100.0,1.8
29.07,-132.25,pacific grove,US,2021-01-13 10:27:40,8.87,87.0,1.0,2.06
-70.18,-178.87,vaini,TO,2021-01-13 10:32:40,25.0,100.0,40.0,1.54
-8.64,157.06,gizo,SB,2021-01-13 10:32:41,28.8,74.0,100.0,4.54
3.02,52.59,hobyo,SO,2021-01-13 10:32:42,26.95,64.0,19.0,10.43
69.17,-114.88,yellowknife,CA,2021-01-13 10:32:43,-10.21,92.0,90.0,5.66
